scenario,arm,repeat,restore_ms,complete_step_ms,teardown_ms,pinned_allocations,pinned_reuses,pinned_retained_peak_bytes,deserialize_ms,scene_create_ms,insert_ms,destruction_import_ms,pre_tick_validation_ms,post_tick_validation_ms,command_ms,simulate_fetch_ms,completion_ms,stress_iterations,broken_bonds,correction_passes,stress_passes,output_clusters,stress_islands,stress_active_nodes,stress_active_bonds,normal_contacts,friction_anchors,repeatability_passed,motion_comparison_measured,position_error_m,linear_error_m_s,angular_error_rad_s
bridge64-warm,A1,7,12.755876,7.980168,6.837449,22,77,239206412,0.140301,1.35545,0.498787,10.760669,1.425296,0.646614,9.2e-05,7.698279,0.281797,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,8,10.573152,7.855266,6.703926,22,88,239206412,0.131571,0.66019,0.495412,9.285246,1.405428,0.667658,8.7e-05,7.610609,0.24457,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,9,13.497771,8.359732,6.27011,22,99,239206412,0.153028,0.691445,0.491844,12.160746,1.442159,0.540008,8.5e-05,8.127157,0.23249,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,10,10.016961,7.846968,6.140127,22,110,239206412,0.125413,0.628535,0.474957,8.787238,1.279782,0.534965,9.5e-05,7.664866,0.182007,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,11,10.099613,7.394614,6.404602,22,121,239206412,0.140251,0.613912,0.474335,8.870423,1.311636,0.493378,8.3e-05,7.218686,0.175845,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,12,10.207677,7.772323,6.337103,22,132,239206412,0.126845,0.619325,0.470781,8.990159,1.373163,0.61592,9e-05,7.624043,0.14819,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,13,10.07004,7.981617,6.213147,22,143,239206412,0.127194,0.638829,0.496197,8.807081,1.302478,0.512339,9.1e-05,7.798419,0.183107,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,14,10.014282,7.262647,7.054634,22,154,239206412,0.122368,0.623519,0.491955,8.775792,1.353565,0.57471,8.4e-05,7.057945,0.204618,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,15,10.745876,7.740627,6.753495,22,165,239206412,0.144434,0.72767,0.50499,9.368046,1.354119,0.544963,9.5e-05,7.55017,0.190362,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,16,10.150164,7.292012,6.542078,22,176,239206412,0.140693,0.716141,0.463276,8.829215,1.279118,0.601747,8e-05,7.08717,0.204762,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,17,9.86495,7.25391,7.084028,22,187,239206412,0.126436,0.624374,0.46638,8.646959,1.367779,0.572349,8.4e-05,7.058171,0.195655,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,18,12.177829,7.409299,5.910473,22,198,239206412,0.126077,0.684533,0.472515,10.894056,1.315153,0.533205,8.4e-05,7.23027,0.178945,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
bridge64-warm,A1,19,9.798366,7.42624,5.865134,22,209,239206412,0.118158,0.595007,0.452543,8.632102,1.307173,0.506244,8.3e-05,7.233857,0.1923,184,0,0,1,1,1,744,1500,0,0,True,True,0,0,0
building-cold,A0,0,189.261723,7.030874,6.051203,22,0,239206412,0.08687,113.083315,0.450568,75.639875,1.401553,7.415692,8e-05,6.858529,0.172265,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,1,9.753042,4.460556,5.765403,22,11,239206412,0.080117,0.668629,0.277148,8.726398,1.10619,0.395466,8.4e-05,4.299889,0.160583,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,2,8.920591,4.493586,5.831553,22,22,239206412,0.068837,0.517856,0.273287,8.060035,1.059411,0.389904,8.2e-05,4.326682,0.166822,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
building-cold,A0,3,9.005795,4.688388,5.696751,22,33,239206412,0.068373,0.512816,0.255891,8.168099,1.00744,0.37543,8.5e-05,4.522552,0.165751,88,0,0,1,1,1,380,784,0,0,True,True,0,0,0
