run,step,complete_step_ms,command_ms,physics_step_ms,completion_ms,resim_passes,stress_passes,contacts_frame,bonds_broken,stress_iterations
idle-256-B-0,177.0,1.546216,0.000256,1.378423,0.16753700000000005,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,178.0,1.486942,0.000221,1.278562,0.20815899999999998,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,179.0,1.457837,0.000247,1.284949,0.17264100000000004,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,180.0,1.490813,0.000224,1.269161,0.22142799999999996,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,181.0,1.555394,0.00026,1.390203,0.16493099999999994,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,182.0,1.587821,0.00031,1.351796,0.2357149999999999,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,183.0,1.596861,0.000215,1.422092,0.1745540000000001,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,184.0,1.628228,0.000208,1.385678,0.24234200000000006,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,185.0,1.560289,0.000154,1.394423,0.16571200000000008,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,186.0,1.368523,0.000195,1.215889,0.152439,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,187.0,1.464938,0.000182,1.333555,0.13120100000000012,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,188.0,1.478967,0.000204,1.327394,0.15136899999999986,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,189.0,1.550655,0.000183,1.339081,0.21139099999999988,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,190.0,1.557319,0.0002,1.385558,0.17156099999999985,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,191.0,1.510685,0.000206,1.304227,0.2062520000000001,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,192.0,1.573542,0.00018,1.406117,0.16724499999999987,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,193.0,1.64377,0.000229,1.473116,0.17042499999999983,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,194.0,1.709939,0.000191,1.515182,0.19456600000000002,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,195.0,1.499141,0.0002,1.324355,0.17458600000000013,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,196.0,1.481697,0.0002,1.33432,0.1471770000000001,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,197.0,1.444365,0.000197,1.236603,0.207565,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,198.0,1.488326,0.000211,1.323454,0.16466100000000017,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,199.0,1.302447,0.000186,1.140173,0.1620879999999998,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,200.0,1.340872,0.00016,1.167391,0.17332100000000006,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,201.0,1.368458,0.00026,1.208692,0.15950599999999993,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,202.0,1.396419,0.000238,1.21301,0.1831710000000002,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,203.0,1.317779,0.000159,1.123006,0.19461400000000006,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,204.0,1.405467,0.000163,1.199893,0.205411,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,205.0,1.280936,0.00025,1.115322,0.16536400000000007,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,206.0,1.383382,0.000182,1.148488,0.23471200000000003,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,207.0,1.240229,0.0002,1.073292,0.16673700000000014,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,208.0,1.379988,0.00022,1.21781,0.16195799999999982,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,209.0,1.354232,0.000185,1.177349,0.17669800000000002,0.0,1.0,0.0,0.0,0.0
